scenario,year,original_AR_MtCO2,updated_AR_MtCO2,Cum_AR_Mha,Total_LULUCF_MtCO2
cwf_highafforest,2010,0,0,0,4012.0792126650276
cwf_highafforest,2015,0,0,0,6605.503583651902
cwf_highafforest,2020,0,0,0,478.1662413739158
cwf_highafforest,2025,-1183.0395051754676,-423.9363565195597,37.341044827,2608.9969101971765
cwf_highafforest,2030,-4191.787469748023,-2088.903328572316,125.66840740800004,-1266.056349817282
cwf_highafforest,2035,-11004.015969455517,-6047.370416616303,331.773884482,-2769.438223151911
cwf_highafforest,2040,-10585.07780144067,-6495.749927889233,418.44948855900003,-6871.973270152349
cwf_highafforest,2045,-9111.19240707182,-6004.119398469127,469.126679444,-6768.63548403521
cwf_highafforest,2050,-7834.011257798546,-5350.603910289073,510.349876134,-6356.994879934748
cwf_highafforest,2055,-8895.421244215218,-5718.726914169398,604.49027068,-4907.036262821982
cwf_highafforest,2060,-8777.076746034243,-5661.9764894955,680.484007245,-4996.978719102896
cwf_highafforest,2065,-7118.206550965201,-4847.743380010619,712.010996804,-5764.752062346953
cwf_highafforest,2070,-5587.680636365915,-3985.6156351019285,729.47252891,-4890.3172395366555
cwf_highafforest,2075,-4107.318136039523,-3083.2117848466564,733.71691189,-3938.046699306935
cwf_highafforest,2080,-3204.528990649403,-2445.6458042487347,740.045586686,-3016.7745225793137
cwf_highafforest,2085,-2615.1857012260652,-1990.9484731853868,747.612395521,-2428.725569397187
cwf_highafforest,2090,-2246.9773863458654,-1683.081322989951,756.631753469,-2087.4036233012334
cwf_highafforest,2095,-1986.1955656149207,-1463.058239433016,765.862016081,-1863.7851338263263
cwf_highafforest,2100,-1627.1109724078465,-1217.9236904315294,770.9813853329999,-1468.13708522222
